#Clock	 #core	loc.	#accounts	throughput	thoughput (x10^6)
GLOBAL_CLOCK	2	0	1024	8360296.9	8.3602969
GLOBAL_CLOCK	4	0	1024	4697160.767	4.697160767
GLOBAL_CLOCK	6	0	1024	5065605.046	5.065605046
GLOBAL_CLOCK	8	0	1024	5426527.833	5.426527833
GLOBAL_CLOCK	10	0	1024	5559542.7	5.5595427
GLOBAL_CLOCK	12	0	1024	5955890.5	5.9558905
GLOBAL_CLOCK	14	0	1024	5705965.368	5.705965368
GLOBAL_CLOCK	16	0	1024	5625139.533	5.625139533
GLOBAL_CLOCK	18	0	1024	5911628	5.911628
GLOBAL_CLOCK	20	0	1024	5667472.2	5.6674722
GLOBAL_CLOCK	22	0	1024	6203598.267	6.203598267
GLOBAL_CLOCK	24	0	1024	6180102.3	6.1801023
GLOBAL_CLOCK	26	0	1024	6441676	6.441676
GLOBAL_CLOCK	28	0	1024	6810101.697	6.810101697
GLOBAL_CLOCK	30	0	1024	6833177.9	6.8331779
GLOBAL_CLOCK	32	0	1024	7211463.1	7.2114631
